,¨K¨K,¨K¨J,¨K¡ú,¨J¨K,¨J¨J,¨J¡ú,¡ú¨K,¡ú¨J,¡ú¡ú 
181,AABR07038567.1,AABR07060593.1,AABR07051952.1,AABR07027272.1,Asna1,Kcnn3,Akap17b,AABR07071622.1,Slc6a8
182,AABR07038957.1,AABR07061871.1,AABR07052322.1,AABR07027394.1,Astn2,Kctd18,Akr1a1,AABR07071905.1,Smpd1
183,AABR07039236.1,AABR07062344.1,AABR07052441.1,AABR07027478.1,Atcay,Kdelr3,Akr1c19,AABR07072264.2,Snw1
184,AABR07039651.1,AABR07062390.1,AABR07052458.1,AABR07027478.3,Atg7,Kpna5,Akt1s1,AABR07072872.1,Spdl1
185,AABR07039778.1,AABR07062466.1,AABR07052587.2,AABR07027581.1,Atp2b4,Krba1,Aktip,AABR07073367.1,Spry4
186,AABR07040936.1,AABR07063082.1,AABR07052846.1,AABR07027722.1,Atp6v1e2,L1td1,Aldh16a1,AC096601.1,Srp19
187,AABR07040947.1,AABR07063459.1,AABR07053179.1,AABR07027744.1,Atr,LOC100359700,Aldoa,AC097037.3,Srpk2
188,AABR07041089.1,AABR07063581.1,AABR07053542.1,AABR07027753.3,Atxn3,LOC100362344,Alms1,AC105515.1,Srsf4
189,AABR07041109.1,AABR07063724.1,AABR07053635.1,AABR07027810.4,Auh,LOC100910996,Alpk1,AC107174.1,Srsf9
190,AABR07041140.1,AABR07063855.1,AABR07053866.1,AABR07027811.1,B3gat1,LOC100911109,Amacr,AC108323.1,St7l
191,AABR07041779.2,AABR07064102.1,AABR07054025.2,AABR07027811.2,Baiap2l2,LOC100911581,Amd1,AC109096.1,Stau1
192,AABR07042514.3,AABR07064386.1,AABR07054352.3,AABR07027819.1,Batf3,LOC100911625,Amotl2,AC111287.1,Stt3a
193,AABR07042623.1,AABR07064724.1,AABR07054456.1,AABR07027870.1,Bcl2l15,LOC100911951,Anapc13,AC112355.1,Tada1
194,AABR07042629.1,AABR07065448.1,AABR07054460.4,AABR07027902.1,Bcl3,LOC100912380,Anapc15,AC113901.1,Tbc1d2b
195,AABR07042821.1,AABR07065970.1,AABR07054897.1,AABR07028027.1,Bcl9,LOC102548695,Anapc2,AC118434.3,Tcp11l2
196,AABR07042859.1,AABR07066470.1,AABR07055356.1,AABR07028157.1,Bcl9l,LOC102552166,Anapc5,AC118833.1,Tead3
197,AABR07042875.1,AABR07067246.1,AABR07056390.2,AABR07028237.1,Bgn,LOC102553018,Angptl2,AC118858.2,Tet3
198,AABR07042915.1,AABR07067506.1,AABR07056470.1,AABR07028381.1,Blk,LOC102555727,Angptl6,AC120241.1,Tex2
199,AABR07043085.1,AABR07067736.1,AABR07056613.1,AABR07028568.1,Bmp3,LOC102556347,Ankrd11,AC120732.1,Tfpi2
200,AABR07043155.1,AABR07068852.1,AABR07057250.1,AABR07028748.1,Bmp5,LOC102557137,Ankrd12,AC121719.1,Tgfbi
201,AABR07043248.1,AABR07069336.1,AABR07057347.1,AABR07028749.1,Bmper,LOC103689941,Ankrd13a,AC122968.1,Timm50
202,AABR07043249.1,AABR07070046.1,AABR07057848.1,AABR07028945.1,Brd7,LOC103690064,Ankrd50,AC123316.3,Tm4sf1
203,AABR07043276.1,AABR07070238.1,AABR07058091.2,AABR07028970.2,Brinp1,LOC103690190,Anxa4,AC124874.2,Tmed7
204,AABR07043279.1,AABR07070441.1,AABR07058124.5,AABR07028984.1,Brsk2,LOC103692171,Anxa5,AC124874.3,Tmem214
205,AABR07043287.1,AABR07070518.1,AABR07058406.1,AABR07028995.2,Bsn,LOC103693999,Aox3,AC126960.1,Tmem30a
206,AABR07043389.1,AABR07070892.1,AABR07058410.1,AABR07028997.1,Btbd2,LOC108348050,Ap1m1,AC127189.1,Tox4
207,AABR07043510.1,AABR07071208.2,AABR07058699.1,AABR07028998.1,C1r,LOC108348085,Ap2b1,AC127605.1,Trim3
208,AABR07043654.1,AABR07071487.1,AABR07058804.1,AABR07029172.2,Cachd1,LOC108348096,Ap2m1,AC128960.1,Tst
209,AABR07043711.1,AABR07071661.1,AABR07058936.1,AABR07029410.1,Cacna1b,LOC108348137,Apc,AC133613.1,Ttc9c
210,AABR07044080.2,AABR07071739.1,AABR07059002.1,AABR07029803.1,Cacna1d,LOC679087,Apex2,AC134759.1,Tug1
211,AABR07044412.1,AABR07071993.1,AABR07059875.1,AABR07029809.1,Cacna1h,LOC688452,Appbp2,AC141937.1,U1
212,AABR07044414.1,AABR07072028.1,AABR07059925.1,AABR07029836.1,Cacna2d3,LOC691995,Arc,AC142187.2,Ube3b
213,AABR07044495.1,AABR07073038.1,AABR07060133.1,AABR07029878.1,Cacng2,Lef1,Arf1,Aadat,Ube4a
214,AABR07044570.1,AC091336.1,AABR07060291.1,AABR07029955.1,Cadm2,Lemd2,Arhgap1,Abcc9,Ubqln4
215,AABR07044933.1,AC094221.1,AABR07060620.1,AABR07030072.1,Cadm4,Lhfpl1,Arhgap12,Abcg3l3,Ugdh
216,AABR07044977.1,AC094647.1,AABR07061240.1,AABR07030086.2,Calml3,Lonp2,Arhgap35,Abl2,Ugp2
217,AABR07045047.1,AC095390.1,AABR07061382.2,AABR07030122.1,Calml5,Lox,Arhgef26,Acot11,Use1
218,AABR07045322.1,AC096353.1,AABR07062061.1,AABR07030156.2,Car11,Lpar4,Arid1a,Acot4,Usp7
219,AABR07045454.1,AC097939.1,AABR07062170.1,AABR07030263.1,Car9,Lpin1,Arid4b,Acvr1c,Vezt
220,AABR07046778.1,AC098180.1,AABR07062183.1,AABR07030473.1,Casp9,Lrp2bp,Arid5b,Adam30,Vps4b
221,AABR07047011.1,AC099137.1,AABR07062266.1,AABR07030501.1,Cbx6,Lrrc57,Arl14ep,Adam34l,Wdr1
222,AABR07047256.1,AC103221.1,AABR07062404.1,AABR07030521.1,Cc2d2a,Ltbp1,Arl6ip6,Adamts10,Wdr4
223,AABR07047531.1,AC104053.1,AABR07062708.1,AABR07030603.1,Ccdc107,Lum,Armc6,Adamts9,Xpnpep1
224,AABR07047576.1,AC106648.1,AABR07062799.1,AABR07030773.1,Ccdc125,Lyrm1,Arv1,Adgre4,Xrn1
225,AABR07047593.1,AC106932.1,AABR07063425.1,AABR07030890.1,Ccdc150,Mad2l1,Ascc1,Adgrg5,Yars
226,AABR07048253.1,AC107531.3,AABR07063425.2,AABR07031150.1,Ccdc189,Map2k4,Asf1a,Adh7,Zbtb10
227,AABR07048303.1,AC111319.2,AABR07063462.1,AABR07031388.1,Ccdc3,Map9,Asf1b,Agpat1,Zfp292
228,AABR07048308.1,AC111781.1,AABR07063638.1,AABR07031399.1,Ccdc51,Mbd5,Asmtl,Agr2,Zfyve9
229,AABR07048637.1,AC112062.1,AABR07063743.1,AABR07031533.1,Ccno,Mcm3ap,Asnsd1,Ahcyl1,
230,AABR07048698.1,AC112624.1,AABR07064000.1,AABR07031674.2,Ccpg1os,Mcrs1,Asph,Ahcyl2,
231,AABR07049043.1,AC113785.2,AABR07064468.1,AABR07031674.4,Cd27,Med12l,Aste1,Aldh3b1,
232,AABR07049064.1,AC114096.2,AABR07064897.1,AABR07031691.1,Cd300lb,Med23,Ate1,Allc,
233,AABR07049353.1,AC114393.1,AABR07064998.1,AABR07031734.3,Cdh17,Metrn,Atg4a,Alpi,
234,AABR07050288.1,AC115214.1,AABR07064999.1,AABR07031767.1,Cdhr5,Mettl13,Atp5i,Als2cl,
235,AABR07050399.1,AC115371.3,AABR07065049.1,AABR07031788.1,Cela2a,Mfap2,Atp5o,Als2cr11,
236,AABR07050652.1,AC115509.1,AABR07065429.2,AABR07031949.1,Cep104,Mfge8,Atp6ap1,Alx4,
237,AABR07051177.1,AC118414.1,AABR07065590.1,AABR07031963.1,Cep97,Mfn1,Atp6v0b,Angptl3,
238,AABR07051266.1,AC118802.1,AABR07065750.2,AABR07031972.1,Cfap157,Mga,Atp6v1h,Ankrd65,
239,AABR07051326.1,AC118963.2,AABR07065772.3,AABR07032457.1,Cfap43,Mlph,Atrx,Anks1b,
240,AABR07051485.1,AC119015.2,AABR07066114.1,AABR07032518.1,Cfap44,Morc2,Atxn10,Ano3,
241,AABR07051831.1,AC120246.2,AABR07066529.1,AABR07032622.1,Ch25h,Mov10,B230307C23Rik,Ap5z1,
242,AABR07051947.1,AC120712.2,AABR07067023.1,AABR07032751.1,Chd3,Mpzl3,B4gat1,Apex2l1,
243,AABR07052085.2,AC120721.1,AABR07067387.1,AABR07033162.1,Chrdl1,Mt1m,Bace1,Apoa2,
244,AABR07052519.1,AC120807.1,AABR07067526.1,AABR07033184.1,Chst10,Mterf4,Bach2,Aqp8,
245,AABR07052523.1,AC121204.1,AABR07068955.1,AABR07033274.1,Chst11,Mtg1,Bag5,Arf2,
246,AABR07052585.2,AC123251.1,AABR07069235.1,AABR07033287.1,Chst15,Mut,Bag5l1,Arfgef2,
247,AABR07052664.1,AC124874.1,AABR07069728.1,AABR07033318.1,Chst3,Mutyh,Baiap3,Arid3b,
248,AABR07053188.1,AC125248.1,AABR07070069.1,AABR07033540.1,Cldn1,Myh9,Bak1,Arid4a,
249,AABR07053283.1,AC126292.3,AABR07070238.3,AABR07033579.2,Cldn24,Myo1d,Batf,Arl14epl,
250,AABR07053580.1,AC127140.1,AABR07070277.1,AABR07033666.1,Clec3a,Nab2,Baz1b,Art4,
251,AABR07053613.1,AC128759.2,AABR07070858.1,AABR07033757.1,Clgn,Nacad,Bbs12,Arvcf,
252,AABR07053669.1,AC128848.1,AABR07071198.1,AABR07033851.1,Clmn,Naif1,Bbs4,Asb15,
253,AABR07053749.1,AC128967.2,AABR07071199.1,AABR07033979.1,Cln5,Nbn,Bcap29,Asb3,
254,AABR07053837.1,AC129370.1,AABR07071589.1,AABR07034183.1,Cmtr2,Nfatc4,Bcap31,Asic3,
255,AABR07053879.1,AC130162.1,AABR07071747.1,AABR07034464.1,Cnbd2,Npas2,Bcas2,Atg9a,
256,AABR07054000.1,AC130741.1,AABR07071779.1,AABR07034573.2,Cnih3,Nrg1,Bcat1,Atl2,
257,AABR07054045.1,AC131360.2,AABR07071876.1,AABR07034592.1,Cnksr3,Ntrk3,Bccip,Atp6v0d2,
258,AABR07054189.1,AC133265.1,AABR07071968.1,AABR07034641.1,Cnmd,Nup62cl,Bcdin3d,Avp,
259,AABR07054266.1,AC135822.3,AABR07072207.1,AABR07034742.1,Cntn3,Orai3,Bckdk,B3galt5,
260,AABR07054361.1,AC136867.1,AABR07072374.2,AABR07034751.1,Cog2,Osbpl2,Bcl2l1-ps1,Bbs2,
261,AABR07054362.1,AC136867.2,AABR07072758.1,AABR07034833.2,Col14a1,Otud6b,Bcl7c,Bcan,
262,AABR07054370.1,AC142421.2,AABR07072995.1,AABR07034991.1,Col24a1,P3h3,Bclaf1,Bcr,
263,AABR07054397.1,AC229945.1,AABR07073073.1,AABR07035273.1,Col27a1,Pappa,Bcor,Begain,
264,AABR07054451.1,AC240408.1,AC094348.2,AABR07035375.1,Col5a1,Pappa2,Bcorl1,Bhlhe23,
265,AABR07054456.2,AY172581.11,AC095078.1,AABR07035375.2,Comp,Paqr9,Bdh2,Bnipl,
266,AABR07054845.1,AY172581.15,AC095825.1,AABR07035506.1,Copa,Pard3b,Bean1,Bpifb4,
267,AABR07054979.1,AY172581.18,AC096473.2,AABR07035779.1,Cpa5,Pcdhb4,Bet1,Bpifc,
268,AABR07055280.1,AY172581.23,AC098160.1,AABR07035787.1,Cped1,Pcdhgb7,Birc2,Brwd1,
269,AABR07055492.1,Aard,AC098459.2,AABR07035832.1,Cpne9,Pcolce,Birc3,Btg4,
270,AABR07055527.1,Aass,AC098750.3,AABR07036087.1,Cpt1c,Pdcd6ip,Birc5,Btnl10,
271,AABR07055789.1,Abca2,AC099104.1,AABR07037395.2,Cpz,Pdia4,Bloc1s2,C1ql2,
272,AABR07055792.1,Abca7,AC103024.2,AABR07037412.2,Crhbp,Pdzd3,Bmi1,C2cd4a,
273,AABR07055805.1,Abcg3l1,AC105577.1,AABR07037536.1,Crispld1,Penk,Bnc2,C2cd4b,
274,AABR07055875.1,Abhd13,AC105645.3,AABR07037698.1,Csmd3,Pex6,Bnip3,C4bpb,
275,AABR07055943.1,Abhd14a,AC105648.1,AABR07037960.1,Csrnp3,Pgm3,Bod1l1,C8a,
276,AABR07056465.1,Abhd4,AC105811.1,AABR07038174.1,Ctdsp1,Pi4kb,Brap,Cacng6,
277,AABR07056678.1,Abhd8,AC108588.1,AABR07038269.1,Cttnbp2,Pmel,Bri3,Cacng7,
278,AABR07057079.1,Abi2,AC110709.1,AABR07039210.1,Cxcl6,Postn,Brox,Caln1,
279,AABR07057196.1,Abi3bp,AC111231.1,AABR07039483.1,Cybrd1,Ppargc1a,Btbd7,Camsap2,
280,AABR07057333.1,Abt1,AC111647.1,AABR07039541.1,Cyp21a1,Prdm5,Btd,Capn11,
281,AABR07057683.1,Abtb2,AC112531.2,AABR07039694.1,Cyp2e1,Prex1,Bub3,Car15,
282,AABR07058102.1,Acaa1b,AC115181.1,AABR07039697.1,Cyp7a1,Prkab1,Bud31,Car4,
283,AABR07058192.1,Acad11,AC117889.1,AABR07040622.1,Cyth3,Prkar2b,Bzw1,Catsper1,
284,AABR07058413.1,Acad8,AC118419.1,AABR07041096.1,Dalrd3,Prkcd,C1qtnf3,Cby3,
285,AABR07058534.1,Ackr3,AC118490.1,AABR07041247.1,Dcaf10,Prok2,C1qtnf7,Ccdc110,
286,AABR07058578.1,Acot1,AC118957.1,AABR07041586.1,Dcaf12l1,Proser1,C2cd5,Ccdc113,
287,AABR07058578.2,Acot12,AC121443.1,AABR07041604.1,Dcst2,Prr5,Cabyr,Ccdc14,
288,AABR07058658.1,Acot3,AC121465.1,AABR07041778.1,Ddah1,Ptpn4,Cacfd1,Ccdc148,
289,AABR07058706.1,Acp5,AC122630.1,AABR07041972.1,Ddias,Pus10,Cacnb3,Ccdc154,
290,AABR07058884.1,Acpp,AC123095.1,AABR07042012.1,Ddr2,RGD1305014,Cacybp,Ccdc73,
291,AABR07058884.2,Acpt,AC123495.2,AABR07042077.1,Ddx28,RGD1305645,Cadm1,Ccdc83,
292,AABR07059004.1,Acsbg2,AC123500.1,AABR07042361.1,Ddx3y,RGD1310769,Calu,Ccndbp1,
293,AABR07059198.1,Acsf3,AC124926.2,AABR07042454.2,Ddx43,RGD1559903,Camsap1,Ccr4,
294,AABR07059372.1,Acsm4,AC127076.2,AABR07042457.1,Ddx49,RGD1566368,Capzb,Ccr6,
295,AABR07059675.1,Actg1,AC128059.3,AABR07042669.1,Degs2,RT1-N3,Carmil2,Ccs,
296,AABR07059807.1,Actr1b,AC128394.1,AABR07042789.1,Dgke,Rab3gap1,Cars,Cct6b,
297,AABR07059891.1,Actr3b,AC128721.1,AABR07042825.1,Dhdh,Rab6a,Cask,Cd226,
298,AABR07060610.1,Actr5,AC129753.1,AABR07042903.2,Dhx35,Rabac1,Cbfb,Cd300e,
299,AABR07060778.1,Acvr2a,AC130391.1,AABR07043098.1,Dicer1,Rad51,Cbx3,Cd7,
300,AABR07060862.1,Acy3,AC130585.1,AABR07043200.1,Dio1,Ralgapa1,Cbx5,Cd79b,
301,AABR07061158.1,Adam1a,AC132760.1,AABR07043271.1,Dip2c,Ramp2,Ccdc115,Cd9,
302,AABR07061868.1,Adam22,AC134746.1,AABR07043288.1,Dmc1,Rasgrp2,Ccdc12,Cdh23,
303,AABR07061964.1,Adam3a,AC135674.1,AABR07043365.1,Dnah1,Rasl2-9,Ccdc124,Cdh7,
304,AABR07062344.2,Adamts14,AC135766.1,AABR07043395.1,Dnah8,Rbm12b,Ccdc137,Cdkl2,
305,AABR07062694.1,Adamts17,AC136025.1,AABR07043407.1,Dnajb2,Rbm43,Ccdc18,Cdkn2c,
306,AABR07062753.1,Adamtsl4,AC139391.1,AABR07043456.1,Dnajc16,Rbm5,Ccdc32,Cel,
307,AABR07062766.1,Adcy2,AC139608.1,AABR07043525.1,Dnajc25,Rcn1,Ccdc57,Celf2,
308,AABR07063575.1,Adcy4,AC139642.1,AABR07043564.1,Dnal4,Rcn3,Ccdc58,Celf3,
309,AABR07063743.2,Adcy8,AC141344.2,AABR07043601.1,Dnase1,Rem2,Ccdc62,Cers1,
310,AABR07064048.1,Adgrg3,AC141997.1,AABR07043652.1,Dnm3,Rfx3,Ccdc66,Cfap100,
311,AABR07064305.1,Adgrl1,AY172581.16,AABR07043696.1,Dok1,Rgs4,Ccdc86,Cfi,
312,AABR07064349.2,Adgrl2,AY172581.4,AABR07043711.2,Dpf1,Rhebl1,Ccm2,Chrm2,
313,AABR07064392.1,Adgrv1,Aadac,AABR07043748.2,Dr1,Rmnd1,Ccnd1,Chrna7,
314,AABR07064622.1,Ado,Abca1,AABR07044001.4,Dsel,Rn50_13_0828.1,Ccnf,Chrnb2,
315,AABR07064634.1,Adra2a,Abcb5,AABR07044049.1,Dtx3,Rn50_1_0427.1,Ccnl2,Chrnb4,
316,AABR07064702.1,Adra2b,Abcb7,AABR07044405.1,Dus1l,Rn50_20_0056.5,Ccnt2,Chst2,
317,AABR07064711.1,Aebp1,Abcc12,AABR07044520.1,Dusp15,Rn50_X_0580.1,Ccp110,Chst8,
318,AABR07064810.1,Aff1,Abhd10,AABR07044562.1,Dync2h1,Rn60_1_0437.1,Cct7,Clcf1,
319,AABR07065118.1,Ago1,Abi3,AABR07044569.1,E2f1,Rn60_3_1740.1,Cd164,Cldn2,
320,AABR07065265.1,Agt,Acadsb,AABR07044752.1,ENSRNOG00000042264,Rn60_Y_0010.2,Cd248,Cldn3,
321,AABR07065406.1,Agtrap,Acbd7,AABR07044836.1,Echdc2,Rnf157,Cd320,Cldn34e,
322,AABR07065420.1,Aicda,Ace3,AABR07044952.1,Ecm2,Rnf182,Cd4,Clec3b,
323,AABR07065531.1,Ak1,Acer1,AABR07044988.3,Ednra,Rnf185,Cd81,Clec7a,
324,AABR07065531.5,Akap10,Aco2,AABR07045071.1,Edrf1,Rnf26,Cdc26,Cmtm1,
325,AABR07065532.2,Aknad1,Acot6,AABR07045321.2,Efemp1,Rrp12,Cdc37,Cmtm6,
326,AABR07065598.1,Akr1b10,Acsl5,AABR07045427.1,Efhc1,Rsph3,Cdc40,Cmtm8,
327,AABR07065619.1,Akt2,Actl7b,AABR07045632.1,Efna5,Rspry1,Cdc42ep5,Cnfn,
328,AABR07066510.1,Alad,Actrt1,AABR07046635.1,Efnb3,Runx2,Cdc7,Cntn2,
329,AABR07066529.3,Alas2,Adamts20,AABR07046699.1,Efs,SNORA36,Cdca3,Cntn5,
330,AABR07066567.1,Aldoart2,Adamts4,AABR07046713.1,Ehhadh,SNORA8,Cdca8,Cntnap3b,
331,AABR07066693.1,Alox15,Add1,AABR07047036.1,Eif2d,Sap130,Cdh13,Cntnap5c,
332,AABR07066826.1,Als2,Adgrg6,AABR07047044.2,Elavl4,Scrn1,Cdh15,Cobl,
333,AABR07067267.1,Als2cr12,Adi1,AABR07047054.1,Elmo3,Secisbp2,Cdh2,Col1a1,
334,AABR07067388.1,Alyref,Aebp2,AABR07047694.1,Elmod1,Sema6b,Cdk2,Col4a4,
335,AABR07067556.1,Ambra1,Ager,AABR07047744.1,Elovl2,Serpinc1,Cdk4,Col5a3,
336,AABR07067583.1,Amigo1,Ago2,AABR07047750.2,Endod1,Sfrp1,Cdon,Coro6,
337,AABR07067749.1,Amigo2,Ahsp,AABR07048271.1,Endov,Sft2d2,Cdv3,Cpm,
338,AABR07067829.1,Ampd3,Ak5,AABR07048280.1,Enpp5,Sgcb,Cenpe,Crisp1,
339,AABR07068030.1,Amz1,Akap8,AABR07048379.1,Entpd2,Sik2,Cenph,Crtam,
340,AABR07068084.1,Anapc10,Akirin2,AABR07048878.1,Entpd3,Sipa1l2,Cenpn,Crx,
341,AABR07068214.1,Angpt1,Akr1d1,AABR07049134.3,Epb42,Skil,Cenpw,Cst5,
342,AABR07068285.1,Angpt2,Akr7a2,AABR07049134.4,Epcam,Slc22a14,Cep126,Cul4a,
343,AABR07068327.1,Ankdd1a,Alb,AABR07049302.1,Epn1,Slc2a13,Cep295,Cxcl12,
344,AABR07068341.1,Ankrd1,Aldh6a1,AABR07049326.2,Eps8l1,Slc35b2,Cetn2,Cxcl16,
345,AABR07068760.1,Ankrd2,Aldh8a1,AABR07049574.1,Erbb4,Slc39a13,Cfap45,Cyb561,
346,AABR07069227.1,Ankrd26,Alg14,AABR07049695.2,Etfbkmt,Slc5a4,Cfdp1,Cyb561a3,
347,AABR07069454.1,Ankrd29,Alkbh2,AABR07049695.3,Etnk2,Slx4,Champ1,Cyp46a1,
348,AABR07069490.1,Ankrd35,Ambp,AABR07049695.4,Evc2,Smurf2,Chd4,Dbh,
349,AABR07069524.1,Ankrd36,Ammecr1l,AABR07049760.1,Extl1,Snapc2,Chd7,Ddx4,
350,AABR07069587.1,Ankrd37,Anapc16,AABR07049764.1,Eya4,Snhg11,Chmp3,Ddx52,
351,AABR07069837.1,Ankrd39,Ang2,AABR07049792.1,F8a1,Snx19,Chn1,Defb25,
352,AABR07069913.1,Ankrd40,Angel2,AABR07049801.1,Fabp3,Snx24,Chp1,Dgkg,
353,AABR07070599.1,Ankrd44,Angptl8,AABR07049862.2,Fam107a,Socs5,Chrnb1,Dlc1,
354,AABR07070603.1,Ankrd54,Ankra2,AABR07049960.1,Fam110b,Sox9,Chsy1,Dleu7,
355,AABR07070704.1,Ankrd9,Ankrd46,AABR07050134.1,Fam110c,Spag4,Chtop,Dll1,
356,AABR07071813.1,Ano1,Ankrd52,AABR07050283.1,Fam132a,Sparc,Chtopl1,Dmpk,
357,AABR07071935.1,Ano8,Ano2,AABR07050423.1,Fam13c,Srpra,Cinp,Dnah7,
358,AABR07071966.1,Anpep,Anxa8,AABR07051207.1,Fam160b2,Ssh3,Cisd1,Donson,
359,AABR07072058.1,Antxrl,Ap3b1,AABR07051251.1,Fam163a,Ssr4,Cks1b,Dpcr1,
360,AABR07072283.2,Anxa1,Apoe,AABR07051555.1,Fam180a,Stom,Clasrp,Dph6,
361,AABR07072440.1,Anxa11,Arel1,AABR07051939.1,Fam184b,Stx17,Clcc1,Dpp6,
362,AABR07072639.2,Ap1ar,Arf6,AABR07052125.1,Fam20a,Stxbp6,Cldnd1,Dpysl2,
363,AABR07072761.1,Ap3s2,Arfrp1,AABR07052247.1,Fam210a,Supt7l,Clec4a,Drc7,
364,AABR07072945.1,Ap4e1,Arhgap25,AABR07052327.1,Fam213b,Svil,Cln3,Drd5,
365,AABR07073039.1,Ap5m1,Arhgap27,AABR07052498.1,Fam53a,Syncrip,Cltb,Dtx1,
366,AABR07073245.1,Apaf1,Arhgdib,AABR07052573.1,Fam65c,Synpo,Cmpk1,Dusp4,
367,AC093965.1,Apba3,Arhgef1,AABR07052585.1,Fam83a,Syt5,Cmss1,Dynlrb2,
368,AC094126.1,Apbb1,Arhgef9,AABR07052587.1,Fam89a,Taf11,Cnih1,ENSRNOG00000031564,
369,AC094246.1,Aplf,Arl14,AABR07052730.2,Fancf,Tapt1,Cnot9,Ebp,
370,AC094643.2,Aplnr,Arl5b,AABR07052897.3,Fbln7,Tbc1d17,Cnpy2,Edaradd,
371,AC095947.2,Apol3,Armc3,AABR07053065.1,Fbp2,Tbrg1,Cntrl,Edn2,
372,AC096239.2,Apold1,Astl,AABR07053136.1,Fbxl2,Tbx3,Coa5,Efcab10,
373,AC096404.1,Apom,Atf6b,AABR07053304.1,Fbxl8,Tcam1,Commd1,Efna3,
374,AC097037.2,Appl2,Atg12,AABR07053471.1,Fgfbp1,Tcf4,Commd10,Elp3,
375,AC097153.2,Aqp11,Atp11b,AABR07053710.1,Fgfr3,Tfpi,Commd8,Eme2,
376,AC097745.1,Aqp3,Atp2c2,AABR07053741.1,Fggy,Tinf2,Commd9,Enpp6,
377,AC098022.1,Arfgap1,Atp6v1g2,AABR07054027.1,Fitm2,Tle3,Cops4,Entpd4,
378,AC098622.1,Arhgap17,Atxn1,AABR07054262.1,Fkbp11,Tmem100,Cops8,Entpd8,
379,AC099089.1,Arhgap22,B3gat2,AABR07054264.1,Fkbp14,Tmem138,Copz1,Ephx4,
380,AC099294.1,Arhgap26,B3gnt2,AABR07054597.1,Flot1,Tmem141,Coq2,Eral1,
381,AC103056.1,Arhgap31,B4galnt1,AABR07054608.1,Flywch1,Tmem14a,Coq3,Erich4,
382,AC103090.1,Arhgap32,Bahcc1,AABR07054721.1,Fndc7,Tmem19,Coq5,Ern1,
383,AC105804.1,Arhgap5,Barx2,AABR07054887.1,Foxa3,Tmem198b,Cox17,Esr2,
384,AC106292.2,Arhgap8,Bcl2l14,AABR07054983.1,Foxp2,Tmem222,Cox7a2l,Faah,
385,AC109707.1,Arhgef10l,Bex3,AABR07055146.1,Foxp3,Tmem237,Cpne1,Fam126a,
386,AC109891.1,Arhgef28,Bloc1s4,AABR07055288.1,Foxp4,Tmem45a,Cpsf3,Fam150b,
387,AC109942.1,Arhgef3,Bnc1,AABR07055353.1,Frk,Tmem45al,Crabp2,Fam155b,
388,AC110824.1,Arhgef37,Bola2,AABR07055413.1,Frrs1l,Tnfaip8,Creb1,Fam173a,
389,AC114343.1,Arhgef5,Brd2,AABR07056183.1,Fscn3,Top2b,Crebrf,Fam179a,
390,AC114446.1,Arhgef6,Brinp2,AABR07056330.1,Fsd1l,Tor1b,Crem,Fam216b,
391,AC114460.1,Arl8a,Bst2,AABR07056415.1,Fut1,Tpst1,Crim1,Fam26e,
392,AC117065.1,Armc10,Btbd11,AABR07056643.2,Fut11,Trib2,Crnkl1,Fam3a,
393,AC117869.1,Armc7,Btbd16,AABR07056680.1,Fxyd4,Trim2,Cry2,Fam47a,
394,AC118165.1,Arpc5,Btbd6,AABR07056767.1,Fzd2,Trim44,Csde1,Fam53c,
395,AC118496.1,Arpc5l,Btn1a1,AABR07056845.1,Gabra2,Tsc22d1,Cse1l,Fance,
396,AC118841.1,Arrb2,Btnl2,AABR07056953.1,Gabrq,Ttc3,Csnk1a1,Fat1,
397,AC120448.1,Arsb,C1ql3,AABR07057108.1,Galnt12,Ttll13,Csnk1d,Fbxo41,
398,AC120727.1,Arse,C1ql4,AABR07057247.1,Gan,Twsg1,Csrp1,Fcrl6,
399,AC121031.1,Arxes2,C1s,AABR07057322.1,Garnl3,Uggt2,Cstf2t,Fermt1,
400,AC121204.3,Asb5,Cables2,AABR07057325.1,Gba2,Uhrf1bp1l,Ctbs,Fgl1,
401,AC121220.1,Asb9,Capn12,AABR07057421.3,Gclc,Unc5c,Ctc1,Fibcd1,
402,AC122603.2,Asgr1,Capsl,AABR07057586.1,Gcnt4,Uqcc2,Ctnna1,Fignl1,
403,AC123138.1,Asic1,Car10,AABR07057961.1,Gda,Usp38,Ctps1,Fjx1,
404,AC123253.2,Aspn,Casp8,AABR07058174.1,Gdnf,Ust,Cul4b,Fkrp,
405,AC126292.2,Aspnl1,Catip,AABR07058464.1,Gdpd1,Vkorc1,Cux1,Flnb,
406,AC126897.1,Astn1,Cbln3,AABR07058479.1,Get4,Vrk2,Cxcl9,Fmo13,
407,AC128293.1,Atad1,Cby1,AABR07058532.1,Gfm2,Vwa5b2,Cxxc5,Fmo6,
408,AC128582.1,Atf7ip2,Ccdc142,AABR07058656.1,Gfpt1,Wipi1,Cyb5d2,Foxo4,
409,AC128901.1,Atg13,Ccdc15,AABR07058711.1,Glis1,Wnt11,Cyp2c6v1,Fry,
410,AC128967.1,Atg16l1,Ccdc159,AABR07058795.1,Glis3,Wrap53,Dad1,Fsbp,
411,AC128986.1,Atg2a,Ccdc162,AABR07058955.1,Glod5,Wwox,Dbf4,Fsip2,
412,AC129054.2,Atg4b,Ccdc163,AABR07058955.2,Glyctk,Wwp2,Dcaf1,Gabra3,
